school,state,region,year,confidence,flags,applied,admitted,admit_rate,enrolled_ft_freshmen,sat_25,sat_75,act_25,act_75,avg_gpa,pct_top_10,test_policy,tuition_in,tuition_out,coa_in,coa_out,n_with_need,n_no_need,n_no_need_merit,pct_no_need_merit,avg_merit,price_after_merit,n_athletic,avg_athletic,pct_need_fully_met,avg_pct_need_met,avg_need_based_award,notes
Adelphi University,NY,Northeast,2018-19,high,,13006,9648,0.7418,1237,1080,1270,22,27,3.5,26,Required,38660,38660,54690,54690,954,283,177,0.6254,18983,35707,16,19607,18.1,44.4,22579,All key sections found. Private institution so in-state and out-of-state tuition are the same.
Agnes Scott College,GA,Southeast,2023-24,high,,1857,1256,0.6764,241,1170,1330,26,31,3.71,16.8,Optional,50604,50604,64209,64209,180,61,61,1.0,31055,33154,,,21.1,83.6,37097,Athletic awards reported as n/a in H2A; institution is private nonprofit women's college. All data from Fall 2023 cohort. Test policy is test-optional (not required but considered).
Alfred University,NY,Northeast,2023-24,medium,,7775,3755,0.483,436,1110,1280,24,32,,,"Not required for admission, but considered if submitted",23430,23430,39566,39566,,,,,,,,,,,,"CDS document in distorted encoding made some sections difficult to parse. All key sections (C1, C8-C10, G1, H2A) were located and extracted. Merit aid numbers extracted from H2A section. Need-based aid data incomplete due to encoding issues in detailed rows."
Allegheny College,PA,Northeast,2023-24,high,,4492,2867,0.6382,283,1030,1310,25,31,3.4,20.7,Test Optional - Standardized test scores considered if submitted,54960,54960,69828,69828,225,58,58,1.0,33410.2,36417.8,,,42.67,92.5,39179.33,All key sections found cleanly. SAT composite and ACT data clearly reported. Private institution so tuition is same for in-state and out-of-state. H2A athletic aid fields (P and Q) appear to have no data reported.
American University,DC,Southeast,2023-24,medium,,17786,8427,0.4738,1848,1300,1440,29,32,,,Not required for admission,59022,59022,75952,75952,956,892,345,0.3868,18297,57655,55,34414,53.3,92.0,36155,"Sections C10 (top tenth percentile), C11 (HS GPA), and C12 (average GPA) not reported in CDS. H2A data clearly shows 345 merit students (no need) and 55 athletic scholarship recipients."
Amherst College,MA,Northeast,2023-24,high,merit_gte_coa,12727,1250,0.0982,488,1480,1550,31,35,,90.0,"Not required for admission, but considered for some",67280,67280,84840,84840,282,206,18,0.0874,84840,0,0,0,97.2,100.0,68704,"Verified against H2/H2A Full-Time-First-Time-First-Year columns (not all-undergrad): enrolled=485/488 (B1/B2), with-need=282, no-need merit N=18 avg=$84,840, athletic N=0. Plausibility check passes (18 <= 485-282=203). The $84,840 avg no-need merit award happens to equal COA exactly (tuition $66,650 + fees $630 + food/housing $17,560 = $84,840) per G1 - this is confirmed as the source's own reported figure, not a mis-extraction, and likely reflects full-COA merit scholarships for the no-need cohort. Amherst is private so in-state/out-of-state figures are identical."
Appalachian State University,NC,Southeast,2023-24,high,,24001,21275,0.8864,4212,1100,1270,21,27,3.9,11.5,Recommended,7541,24537,14171,31167,3273,939,511,0.5442,2561,28606,58,10833,3.46,56.7,9401,All key sections cleanly located and extracted. Test policy is 'Recommended' (not required for admission but considered if submitted based on C8 checkmarks). SAT composite score used directly from reported data.
Arizona State University,AZ,Southwest,2023-24,high,,68840,62084,0.9019,14102,,,,,3.54,28.0,required,12051,32193,28142,48284,7995,6107,5642,0.9239,9178,39106,58,28028,17.0,62,13657,All key financial aid fields found cleanly. SAT/ACT composite percentile values in section C9 not clearly readable in text extraction (table columns may be misaligned); recommend verifying from original PDF. Test policy: required for admission. Public institution with both in-state and out-of-state tuition.
Auburn University,AL,Southeast,2023-24,high,,48179,24315,0.5047,5916,1240,1360,25,31,4.07,37,Consider if Submitted,12536,33944,27932,49340,1970,3946,1834,0.4648,9133,40207,121,29796,20.1,59,11803,"All key sections found cleanly. Data from 2022-2023 final year per H1. Public institution, so in-state and out-of-state tuition reported separately."
Austin College,TX,Southwest,2023-24,high,,3435,2443,0.7112,296,1115,1290,24,31,3.6,23.2,"Not required for admission, but considered for some",48680,48680,62749,62749,219,77,76,0.987,32106,30643,,,50,93,42839,All key sections found cleanly. Athletic aid reported as N/A in H2A (line 1192-1196). Test policy is optional/considered for some applicants. Private institution with identical in-state and out-of-state tuition.
Babson College,MA,Northeast,2023-24,high,,7995,1578,0.1974,626,1400,1480,30,33,,,"Not required for admission, but considered for some",57152,57152,78648,78648,227,399,25,0.0627,31018,47630,0,,100,100,50275,All key fields found cleanly. Test policy is 'not required but considered for some'. Average HS GPA data not provided (0.0% submission rate). Percent in top tenth of class not provided.
Bard College,NY,Northeast,2023-24,high,,6628,3466,0.5229,402,1300,1412,30,32,3.71,,"Not required for admission, but considered for some",66436,66436,85288,85288,290,112,6,0.0536,34750,50538,0,,7.24,82,56026,All key fields found cleanly in CDS. Private institution (both in-state and out-of-state tuition set to same value). H2A data clearly separated for non-need-based merit aid with and without athletic component.
Barnard College,NY,Northeast,2023-24,medium,,11803,940,0.0796,700,1450,1520,32,34,3.98,98,SAT or ACT required for admission,69888,69888,91602,91602,234,466,,,,,,,100,100,71172,"H2A section data not clearly extractable from PDF text due to table formatting issues. GPA calculated from distribution (63% at 4.0, 32% at 3.75-3.99, 3% at 3.50-3.74, 1% at 3.25-3.49, 1% at 3.00-3.24 = weighted avg ~3.98). Athletic aid appears in H4/H5 context but may not reflect H2A athletic awards category. Admitted count assumes women only (women's college)."
Bates College,ME,Northeast,2023-24,high,,9076,1185,0.1306,505,1370,1475,31,33,,39.1,Optional,67015,67015,85795,85795,201,304,0,,0,,0,0,100,100.0,59193,"All key sections present and clearly marked. Test policy is optional (not required for admission but considered). High school GPA reporting in C11 shows incomplete data (0% across all categories), so avg_gpa is null. Full-time first-time freshmen enrollment from C1 (505 total). Cost of attendance total calculated from tuition + fees + room/board. No merit aid awarded to students without financial need; no athletic scholarships reported."
Baylor University,TX,Southwest,2023-24,high,,39767,20268,0.5097,3315,1160,1340,25,31,,38,Required to be considered for admission,58100,58100,73978,73978,1720,1595,1514,0.9492,16227,57751,58,29668,17.1,72.6,32447,"All key fields extracted successfully from CDS sections. Private institution with same tuition for all students. H2A fields clearly identified in section H2A lines N, O, P, and Q."
Belmont University,TN,Southeast,2023-24,high,,8950,8624,0.9636,1662,1170,1360,24,30,3.8,29.6,"Not required for admission, but considered for some",42540,42540,57550,57550,1021,641,537,0.8378,10697,46853,16,34566,15.3,76.3,31591,All key sections clearly identified and extracted. Private institution; in-state and out-of-state tuition are the same. Section H2A clearly distinguishes between merit aid and athletic aid.
Beloit College,WI,Midwest,2023-24,high,,3914,2245,0.5736,216,1250,1380,25.5,31,3.39,30.4,"Not required for admission, but considered for some",58554,58554,69294,69294,164,52,51,0.9808,43568,25726,,,42.1,96.4,58797,All key sections clearly present. Test policy is optional/considered for some. Athletic aid reported as n/a. College is private nonprofit.
Bennington College,VT,Northeast,2023-24,high,,2825,1357,0.4804,216,1308,1395,30,32,3.7,27,"SAT and/or ACT not required for admission, but considered for some; optional submission",66840,66840,85950,85950,142,74,12,0.1622,28854,57096,0,,22.5,88.6,50553,All key fields found cleanly. Private institution with same tuition for in-state and out-of-state. No athletic aid awarded to first-year students.
Bentley University,MA,Northeast,2023-24,high,,6213,4268,0.6869,1120,1270,1390,29,32,,35,test-optional,58150,58150,82280,82280,564,556,408,0.7338,19399,62881,23,27946,34.2,89.0,47156,Test policy is test-optional for all students. Average HS GPA not provided in CDS. Merit aid figures clearly separated from need-based aid.
