school,state,region
Adelphi University,NY,Northeast
Agnes Scott College,GA,Southeast
Alfred University,NY,Northeast
Allegheny College,PA,Northeast
American University,DC,Southeast
Amherst College,MA,Northeast
Appalachian State University,NC,Southeast
Arizona State University,AZ,Southwest
Auburn University,AL,Southeast
Austin College,TX,Southwest
Babson College,MA,Northeast
Bard College,NY,Northeast
Barnard College,NY,Northeast
Bates College,ME,Northeast
Baylor University,TX,Southwest
Belmont University,TN,Southeast
Beloit College,WI,Midwest
Bennington College,VT,Northeast
Bentley University,MA,Northeast
Binghamton University,NY,Northeast
Boston College,MA,Northeast
Boston University,MA,Northeast
Bowdoin College,ME,Northeast
Bradley University,IL,Midwest
Brandeis University,MA,Northeast
Brown University,RI,Northeast
Bryant University,RI,Northeast
Bryn Mawr College,PA,Northeast
Bucknell University,PA,Northeast
Butler University,IN,Midwest
CUNY Bernard M Baruch College,NY,Northeast
CUNY Hunter College,NY,Northeast
California Institute of Technology,CA,West
California State Polytechnic University Pomona,CA,West
California State University Fresno,CA,West
California State University Fullerton,CA,West
California State University Long Beach,CA,West
California State University Los Angeles,CA,West
Carleton College,MN,Midwest
Carnegie Mellon University,PA,Northeast
Case Western Reserve University,OH,Midwest
Centre College,KY,Southeast
Chapman University,CA,West
Claremont McKenna College,CA,West
Clark University,MA,Northeast
Clarkson University,NY,Northeast
Clemson University,SC,Southeast
Coastal Carolina University,SC,Southeast
Colby College,ME,Northeast
Colgate University,NY,Northeast
College of Charleston,SC,Southeast
College of New Jersey,NJ,Northeast
College of William and Mary,VA,Southeast
College of the Holy Cross,MA,Northeast
Colorado College,CO,West
Colorado School of Mines,CO,West
Colorado State University,CO,West
Columbia University,NY,Northeast
Connecticut College,CT,Northeast
Cornell University,NY,Northeast
Creighton University,NE,Midwest
Dartmouth College,NH,Northeast
Davidson College,NC,Southeast
DePaul University,IL,Midwest
DePauw University,IN,Midwest
Denison University,OH,Midwest
Dickinson College,PA,Northeast
Drew University,NJ,Northeast
Drexel University,PA,Northeast
Duke University,NC,Southeast
Duquesne University,PA,Northeast
Earlham College,IN,Midwest
East Carolina University,NC,Southeast
Eckerd College,FL,Southeast
Elon University,NC,Southeast
Emory University,GA,Southeast
Fairfield University,CT,Northeast
Florida Atlantic University,FL,Southeast
Florida Gulf Coast University,FL,Southeast
Florida Institute of Technology,FL,Southeast
Florida International University,FL,Southeast
Florida State University,FL,Southeast
Fordham University,NY,Northeast
Franklin W Olin College of Engineering,MA,Northeast
Franklin and Marshall College,PA,Northeast
Furman University,SC,Southeast
George Mason University,VA,Southeast
George Washington University,DC,Southeast
Georgetown University,DC,Southeast
Georgia College,GA,Southeast
Georgia Institute of Technology,GA,Southeast
Georgia State University,GA,Southeast
Gettysburg College,PA,Northeast
Gonzaga University,WA,West
Grinnell College,IA,Midwest
Gustavus Adolphus College,MN,Midwest
Hamilton College,NY,Northeast
Harvard University,MA,Northeast
Harvey Mudd College,CA,West
Haverford College,PA,Northeast
Hendrix College,AR,Southeast
Hobart William Smith Colleges,NY,Northeast
Hofstra University,NY,Northeast
Howard University,DC,Southeast
Illinois College,IL,Midwest
Illinois Institute of Technology,IL,Midwest
Illinois Wesleyan University,IL,Midwest
Indiana University Bloomington,IN,Midwest
Indiana University Purdue University Indianapolis,IN,Midwest
Iowa State University,IA,Midwest
Ithaca College,NY,Northeast
James Madison University,VA,Southeast
Johns Hopkins University,MD,Southeast
Juniata College,PA,Northeast
Kalamazoo College,MI,Midwest
Kansas State University,KS,Midwest
Kenyon College,OH,Midwest
Lafayette College,PA,Northeast
Lake Forest College,IL,Midwest
Lawrence University,WI,Midwest
Lehigh University,PA,Northeast
Lewis  Clark College,OR,West
Linfield College McMinnville Campus,OR,West
Louisiana State University,LA,Southeast
Loyola Marymount University,CA,West
Loyola University Chicago,IL,Midwest
Loyola University Maryland,MD,Southeast
Macalester College,MN,Midwest
Marist College,NY,Northeast
Marquette University,WI,Midwest
Massachusetts College of Liberal Arts,MA,Northeast
Massachusetts Institute of Technology,MA,Northeast
